Instruction,condsFile,emotions,emotionsREP,TeclaQ2,TeclaP2,CATarget2,CAHappy2,Body,Face,Type,Stimulus,Gender,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,respNo,CAfear,Instruction_1.started,Instruction_1.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,Instructions2.started,Instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_8.started,text_8.stopped,text_7.started,text_7.stopped,text_9.started,text_9.stopped,Qtext.started,Qtext.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,ISI.started,ISI.stopped,fix_duration,start,text_12.started,text_12.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_10.started,text_10.stopped,ISI_3.started,ISI_3.stopped,text_2.started,text_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,CAanger,text_3.started,text_3.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,participant,impar_incluso,date,expName,psychopyVersion,frameRate,TeclaQ,TeclaP,
instFear.xlsx,fear.xlsx,miedo o felicidad.,¿Tiene una expresión de miedo o felicidad?,Tecla Q = Miedo,Tecla P = Feliz,q,p,Control,Fear,Control Body,CoBo_2_f-copy.png,male,0,0,0,0,1,56,116,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000000000000002,1.1000000000000003,226.66225855000084,227.69264766800916,227.64329874701798,227.75926647504093,p,0.8469298660056666,227.64329874701798,None,227.75926647504093,None,227.75926647504093,None,0.005341564712580293,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Miedo,
instFear.xlsx,fear.xlsx,miedo o felicidad.,¿Tiene una expresión de miedo o felicidad?,Tecla Q = Miedo,Tecla P = Feliz,q,p,Happy,Fear,Incongruent,I_5_h_f-copy.png,female,0,0,0,0,1,57,117,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2000000000000004,1.3000000000000005,228.5448232900235,229.76076856802683,229.73516657500295,229.8612652180018,p,1.2421932900324464,229.73516657500295,None,229.8317397350329,None,229.8317397350329,None,0.0019539486966095865,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Miedo,
instFear.xlsx,fear.xlsx,miedo o felicidad.,¿Tiene una expresión de miedo o felicidad?,Tecla Q = Miedo,Tecla P = Feliz,q,p,Happy,Happy,Congruent,C_2_h-copy.png,male,0,0,0,0,1,58,118,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1000000000000003,1.2000000000000004,231.01374844601378,232.14490935904905,232.11526574904565,232.2447046660236,q,0.7130206819856539,232.11526574904565,None,232.21493435901357,None,232.21493435901357,None,0.0052717276848852634,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Miedo,
instFear.xlsx,fear.xlsx,miedo o felicidad.,¿Tiene una expresión de miedo o felicidad?,Tecla Q = Miedo,Tecla P = Feliz,q,p,Happy,Happy,Congruent,C_5_h-copy.png,female,0,0,0,0,1,59,119,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.85,232.86522452603094,233.6243221689947,233.6243221689947,233.74564495601226,q,0.6039706040173769,233.6243221689947,None,233.6960830060416,None,233.6960830060416,None,0.005140444729477167,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Miedo,
instFear.xlsx,fear.xlsx,miedo o felicidad.,¿Tiene una expresión de miedo o felicidad?,Tecla Q = Miedo,Tecla P = Feliz,q,p,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.26239026599796,None,space,1.7266260940232314,234.26239026599796,None,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Miedo,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Control,Anger,Control Body,CoBo_4_a-copy.png,female,0,1,1,1,0,0,0,43,2,,236.0491060130298,None,space,1.0602264839690179,236.0491060130298,None,236.0491060130298,None,237.16504299803637,None,space,1.754365152970422,237.16504299803637,None,237.16504299803637,None,237.16504299803637,None,237.16504299803637,None,238.96407989400905,None,space,0.9642947129905224,238.96407989400905,None,0.015438866743352264,None,1.0500000000000003,1.1500000000000004,244.96766268304782,246.0379587500356,245.9914730580058,246.1165241150302,p,1.0640318999649025,245.9914730580058,None,246.0895389690413,None,246.0895389690413,None,0.007570344372652471,None,,,,,,,p,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Control,Happy,Control Body,CoBo_5_h-copy.png,female,0,1,1,1,0,1,1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2000000000000004,1.3000000000000005,247.1006161220139,248.32154155202443,248.300537927018,248.41705464903498,q,0.5225947329890914,248.300537927018,None,248.38857427204493,None,248.38857427204493,None,0.0019180126837454736,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Happy,Happy,Congruent,C_4_h-copy.png,female,0,1,1,1,0,2,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2000000000000004,1.3000000000000005,248.88470125501044,250.0901408730424,250.06887138303136,250.1890292110038,p,0.7035692660138011,250.06887138303136,None,250.16888842801563,None,250.16888842801563,None,0.0020620336872525513,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Happy,Anger,Incongruent,I_8_h_a-copy.png,male,0,1,1,1,0,3,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1000000000000003,1.2000000000000004,250.82024372799788,251.94065583101474,251.894591341028,252.01946133404272,p,0.5679474230273627,251.894591341028,None,251.9916855940246,None,251.9916855940246,None,0.003427306655794382,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
instAnger.xlsx,anger.xlsx,enfado o felicidad.,¿Tiene la persona una CARA enfadada o feliz?,Tecla Q = Enfadado,Tecla P = Feliz,q,p,Happy,Anger,Incongruent,I_9_h_a-copy.png,female,0,1,1,1,0,4,4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1000000000000003,1.2000000000000004,252.52022373402724,253.63585095701274,253.6088361290167,253.72001597902272,p,0.5723930610110983,253.6088361290167,None,253.7021349510178,None,253.7021349510178,None,0.0006041927263140678,None,,,,,,,,,,,,,,999,impar,2020_Feb_26_1955,FBC_2019_v2,3.2.4,60.028615516486035,Tecla Q = Feliz,Tecla P = Enfadado,
